INFO: Number of unique users: 610, Number of unique movies: 193609
ERROR: Error during data transformation: column index (193609) out of bounds
INFO: Number of unique users: 610, Number of unique movies: 193609
INFO: <List of Lists sparse matrix of dtype 'float64'
	with 100836 stored elements and shape (610, 193609)>
  Coords	Values
  (0, 0)	4.0
  (0, 2)	4.0
  (0, 5)	4.0
  (0, 46)	5.0
  (0, 49)	5.0
  (0, 69)	3.0
  (0, 100)	5.0
  (0, 109)	4.0
  (0, 150)	5.0
  (0, 156)	5.0
  (0, 162)	5.0
  (0, 215)	5.0
  (0, 222)	3.0
  (0, 230)	5.0
  (0, 234)	4.0
  (0, 259)	5.0
  (0, 295)	3.0
  (0, 315)	3.0
  (0, 332)	5.0
  (0, 348)	4.0
  (0, 355)	4.0
  (0, 361)	5.0
  (0, 366)	4.0
  (0, 422)	3.0
  (0, 440)	4.0
  :	:
  (609, 156370)	5.0
  (609, 156725)	4.5
  (609, 157295)	4.0
  (609, 158237)	5.0
  (609, 158720)	3.5
  (609, 158871)	3.5
  (609, 158955)	3.0
  (609, 159092)	3.0
  (609, 160079)	3.0
  (609, 160340)	2.5
  (609, 160526)	4.5
  (609, 160570)	3.0
  (609, 160835)	3.0
  (609, 161581)	4.0
  (609, 161633)	4.0
  (609, 162349)	3.5
  (609, 163936)	3.5
  (609, 163980)	3.5
  (609, 164178)	5.0
  (609, 166527)	4.0
  (609, 166533)	4.0
  (609, 168247)	5.0
  (609, 168249)	5.0
  (609, 168251)	5.0
  (609, 170874)	3.0
